gene_id,MCF-7,MCF-7-ADR
ADGRF4,1.075314621,0
ADGRF5,0,0.064040273
ADGRG1,34.83822446,3.695322877
ADGRG2,0.449917507,0.51948456
ADGRG3,0.067598,0.247146429
ADGRG4,0,0.018598
ADGRG5,0,0
ADGRG6,16.70491106,20.5652318
ADGRG7,0,0
ADGRL1,11.23645689,3.399898311
ADGRL2,0.038819399,24.6061219
ADGRL3,0,0.308822617
ADGRL4,0,0
ADGRV1,8.448618,1.522367
ADH1A,0.060428,0.030571
ADH1B,0.057842,0.036697
ADH1C,0,0
ADH4,0.195791,0.113629
ADH5,28.961504,45.469173
ADH6,0.078361,0.152816
ADH7,0,0
ADHFE1,0.557545,2.690669
ADI1,23.96892919,14.0182751
ADIG,0,0
ADIPOQ,0,0.028585032
ADIPOR1,100.8511442,29.47720661
ADIPOR2,15.637559,22.2438355
ADIRF,96.483055,0.765842
ADK,27.81843499,50.55239643
ADM,23.112532,7.995902
ADM2,11.657758,6.842874
ADM5,0.859494,0.167342
ADNP,77.20998479,57.19963462
ADNP2,16.357594,11.509628
ADO,6.694013,13.918301
ADORA1,0.718919567,0.280896979
ADORA2A,0.690681328,0.416731468
ADORA2B,2.821375,21.916626
ADORA3,0,0
ADPGK,12.53845088,20.27211233
ADPRH,1.758966,2.141489885
ADPRHL1,7.739170482,1.021356262
ADPRHL2,6.001439,5.721582
ADPRM,2.885553,4.93418
ADRA1A,0,0
ADRA1B,0.071985,0.193077
ADRA1D,0,0
ADRA2A,0.100862,0.016965
ADRA2B,0.030081,0.122753
ADRA2C,1.518867,1.3995
ADRB1,0.226266,0.11868
ADRB2,0.029689,19.670403
ADRB3,0,0
ADRM1,71.41822874,56.93890754
ADSL,9.703342377,14.14559887
ADSS1,1.163767556,1.233316179
ADSS2,12.1948773,33.60353326
ADTRP,0.032304,4.513015165
AEBP1,0.150318,16.95886
AEBP2,7.256194259,15.18298222
AEN,12.117584,10.599684
AFAP1,3.135740947,13.30023967
AFAP1L1,0.170089035,5.180304735
AFAP1L2,0.206774793,0.043740584
AFDN,18.91286232,16.02933196
AFF1,13.82109382,15.32858347
AFF2,0.00423457,0
AFF3,5.198997459,6.380448584
AFF4,19.660196,44.80611
AFG1L,2.593735,2.738936
AFG3L2,45.615669,49.79863
AFM,0,0
AFMID,3.774537221,9.499887573
AFP,0,0.411688112
AFTPH,25.92616986,15.17871702
AGA,22.27680014,0
AGAP1,8.222015057,4.411111643
AGAP11,4.888855,2.246436
AGAP2,1.525986363,0.846436265
AGAP3,12.39916634,8.939974186
AGAP4,2.564766882,3.223400508
AGAP5,2.661725,2.746012
AGAP6,6.395862631,7.694409585
AGAP9,4.922453,9.186779
AGBL1,0,0
AGBL2,0.240873,0.0971935
AGBL3,0.056557382,0.589454484
AGBL4,0.142487,0
AGBL5,14.57899152,15.33677009
AGER,1.758191309,3.055496475
AGFG1,8.484606852,16.70378497
AGFG2,2.77166,1.003711
AGGF1,16.584103,7.293808
AGK,15.24798747,21.54863
AGL,5.840361554,13.23444306
AGMAT,3.27186,3.195696
AGMO,0,0.079139
AGO1,10.59424695,5.318462847
AGO2,18.90414653,18.96919946
AGO3,2.976585634,3.132685183
AGO4,5.108798,2.546577
AGPAT1,10.24040507,22.88310365
AGPAT2,12.89798627,20.31371704
AGPAT3,21.0436805,2.19681664
AGPAT4,0.358208,4.747678
AGPAT5,3.059916,4.4684525
AGPS,0,18.421194
AGR2,104.060242,0.16251
AGR3,0.317948,0
AGRN,11.45953915,9.186630598
AGRP,0.454526,0.51512
AGT,0,0.228994
AGTPBP1,9.19338796,10.0948784
AGTR1,0,0.646967023
AGTR2,0,0
AGTRAP,4.330346217,6.778028605
AGXT,0,0
AGXT2,0,0.114035834
AHCTF1,19.16773275,51.51197224
AHCY,56.92962034,51.20710885
AHCYL1,84.23138929,18.0641004
AHCYL2,5.148454215,4.716312343
